project,groupId,cloneType,consistId,inconsistentGroup,fileNum
dbeaver,10532,3,0,23#24,1
dbeaver,10532,3,0,24#23,1
dbeaver,10118,3,0,6#5,2
dbeaver,10118,3,0,8#7,2
dbeaver,10118,3,0,9#10,2
dbeaver,10118,3,0,11#12,2
dbeaver,10118,3,0,15#16,2
dbeaver,10118,3,0,17#18,2
dbeaver,10917,3,0,3#4,1
dbeaver,10917,3,0,4#3,1
dbeaver,10917,3,0,8#7,1
dbeaver,10917,3,0,10#9,1
dbeaver,10917,3,0,14#13,1
dbeaver,10917,3,0,18#17,1
dbeaver,101179,3,0,3#4,2
dbeaver,101179,3,0,5#6,2
dbeaver,101179,3,0,6#5,2
dbeaver,101179,3,0,7#8,2
dbeaver,101179,3,0,11#12,2
dbeaver,101179,3,0,13#14,2
dbeaver,101179,3,0,15#16,2
dbeaver,101179,3,0,17#18,2
dbeaver,101179,3,0,19#20,2
dbeaver,101179,3,0,21#22,2
dbeaver,101179,3,0,23#24,2
dbeaver,101179,3,0,25#26,2
dbeaver,101179,3,0,27#28,2
dbeaver,101179,3,0,29#30,2
dbeaver,10964,3,0,7#8,2
dbeaver,10383,3,0,3#4,1
dbeaver,10383,3,0,4#3,1
dbeaver,10383,3,0,6#5,1
dbeaver,10383,3,0,7#8,1
dbeaver,10383,3,0,12#11,1
dbeaver,101017,3,0,3#4,2
dbeaver,101017,3,0,10#9,2
dbeaver,101017,3,0,12#11,2
dbeaver,101017,3,0,14#13,2
dbeaver,101017,3,0,16#15,2
dbeaver,101017,3,0,18#17,2
dbeaver,101180,3,0,3#4,2
dbeaver,101180,3,0,5#6,2
dbeaver,101180,3,0,6#5,2
dbeaver,101180,3,0,7#8,2
dbeaver,101180,3,0,11#12,2
dbeaver,101180,3,0,13#14,2
dbeaver,101180,3,0,15#16,2
dbeaver,101180,3,0,17#18,2
dbeaver,101180,3,0,20#19,2
dbeaver,101180,3,0,21#22,2
dbeaver,101180,3,0,23#24,2
dbeaver,101180,3,0,25#26,2
dbeaver,101180,3,0,27#28,2
dbeaver,101180,3,0,29#30,2
dbeaver,101180,3,0,31#32,2
dbeaver,10925,3,0,3#4,2
dbeaver,10925,3,0,4#3,2
dbeaver,10926,3,0,3#4,2
dbeaver,10926,3,0,4#3,2
dbeaver,10229,3,0,8#7,1
dbeaver,10229,3,0,12#11,1
dbeaver,10229,3,0,19#20,1
dbeaver,10229,3,0,20#19,1
dbeaver,11984,3,0,12#11,1
dbeaver,11984,3,0,14#13,1
dbeaver,11984,3,0,15#16,1
dbeaver,11984,3,0,19#20,1
dbeaver,11984,3,0,20#19,1
dbeaver,11984,3,0,25#26,1
dbeaver,10825,3,0,3#4,1
dbeaver,10195,3,0,3#4,2
dbeaver,10195,3,0,7#8,2
dbeaver,10195,3,0,9#10,2
dbeaver,10213,3,0,5#6,2
dbeaver,10213,3,0,7#8,2
dbeaver,10877,3,0,4#3,1
dbeaver,10877,3,0,5#6,1
dbeaver,10877,3,0,10#9,1
dbeaver,10192,3,0,3#4,2
dbeaver,10192,3,0,8#7,2
dbeaver,10192,3,0,11#12,2
dbeaver,10192,3,0,13#14,2
dbeaver,10192,3,0,16#15,2
dbeaver,10802,3,0,4#3,2
dbeaver,10802,3,0,9#10,2
dbeaver,10193,3,0,4#3,2
dbeaver,10193,3,0,5#6,2
dbeaver,10193,3,0,9#10,2
dbeaver,10193,3,0,11#12,2
dbeaver,10193,3,0,14#13,2
dbeaver,101119,3,0,3#4,1
dbeaver,101119,3,0,4#3,1
dbeaver,101119,3,0,8#7,1
dbeaver,101119,3,0,18#17,1
dbeaver,10124,3,0,4#3,2
dbeaver,10124,3,0,6#5,2
dbeaver,10124,3,0,12#11,2
dbeaver,10124,3,0,14#13,2
dbeaver,10124,3,0,15#16,2
dbeaver,10124,3,0,17#18,2
dbeaver,10124,3,0,19#20,2
dbeaver,10628,2,0,3#4,2
dbeaver,10628,3,0,9#10,2
dbeaver,10628,3,0,11#12,2
dbeaver,10216,3,0,7#8,2
dbeaver,10216,3,0,10#9,2
dbeaver,10216,3,0,11#12,2
dbeaver,10206,3,0,7#8,2
dbeaver,10206,3,0,10#9,2
dbeaver,10223,3,0,6#5,2
dbeaver,10208,3,0,5#6,2
dbeaver,10208,2,0,7#8,2
dbeaver,10211,3,0,7#8,2
dbeaver,10211,3,0,10#9,2
dbeaver,10211,3,0,11#12,2
dbeaver,10198,3,0,6#5,2
dbeaver,10198,3,0,7#8,2
dbeaver,10198,3,0,11#12,2
dbeaver,10198,3,0,13#14,2
dbeaver,10198,3,0,16#15,2
dbeaver,10240,1,0,4#3,2
dbeaver,10240,2,0,6#5,2
dbeaver,10240,3,0,10#9,2
dbeaver,10240,3,0,12#11,2
dbeaver,10240,3,0,14#13,2
dbeaver,10240,3,0,16#15,2
dbeaver,10240,3,0,18#17,2
dbeaver,10240,3,0,20#19,2
dbeaver,10240,3,0,23#24,2
dbeaver,10240,3,0,25#26,2
dbeaver,10240,3,0,28#27,2
dbeaver,10393,3,0,5#6,2
dbeaver,10393,3,0,10#9,2
dbeaver,10393,3,0,12#11,2
dbeaver,101082,3,0,9#10,2
dbeaver,10968,3,0,9#10,2
dbeaver,10795,3,0,5#6,2
dbeaver,10795,3,0,7#8,2
dbeaver,10795,3,0,9#10,2
dbeaver,10794,3,0,3#4,2
dbeaver,10794,3,0,5#6,2
dbeaver,10794,3,0,7#8,2
dbeaver,10794,3,0,14#13,2
dbeaver,10391,3,0,7#8,2
dbeaver,10391,3,0,12#11,2
dbeaver,10391,3,0,14#13,2
dbeaver,10391,3,0,19#20,2
dbeaver,10391,3,0,21#22,2
dbeaver,10391,3,0,25#26,2
dbeaver,10391,3,0,27#28,2
dbeaver,10391,3,0,29#30,2
dbeaver,10391,3,0,34#33,2
dbeaver,10391,3,0,41#42,2
dbeaver,10391,3,0,47#48,2
dbeaver,10391,3,0,49#50,2
dbeaver,10391,3,0,51#52,2
dbeaver,11117,3,0,9#10,1
dbeaver,11117,3,0,10#9,1
dbeaver,11117,3,0,11#12,1
dbeaver,11117,3,0,13#14,1
dbeaver,11117,3,0,15#16,1
dbeaver,11117,3,0,16#15,1
dbeaver,101135,3,0,5#6,2
dbeaver,101135,3,0,8#7,2
dbeaver,10735,2,0,6#5,1
dbeaver,10735,2,0,7#8,1
dbeaver,10735,2,0,8#7,1
dbeaver,10735,3,0,9#10,1
dbeaver,10735,3,0,13#14,1
dbeaver,10735,3,0,15#16,1
dbeaver,10735,3,0,17#18,1
dbeaver,101177,3,0,4#3,2
dbeaver,101177,3,0,5#6,2
dbeaver,101177,3,0,9#10,2
dbeaver,101177,3,0,11#12,2
dbeaver,101000,3,0,6#5,2
dbeaver,101000,3,0,7#8,2
dbeaver,101000,3,0,8#7,2
dbeaver,101000,3,0,9#10,2
dbeaver,101000,3,0,10#9,2
dbeaver,101116,2,0,7#8,2
dbeaver,10276,3,0,5#6,1
dbeaver,10276,3,0,6#5,1
dbeaver,10576,3,0,5#6,1
dbeaver,10161,3,0,4#3,2
dbeaver,10161,3,0,8#7,2
dbeaver,10161,3,0,9#10,2
dbeaver,10161,3,0,11#12,2
dbeaver,10161,3,0,12#11,2
dbeaver,10161,3,0,14#13,2
dbeaver,12652,2,0,4#3,2
dbeaver,10734,3,0,3#4,2
dbeaver,10734,3,0,5#6,2
dbeaver,10734,3,0,6#5,2
dbeaver,10734,3,0,9#10,2
dbeaver,10283,3,0,3#4,1
dbeaver,10283,3,0,8#7,1
dbeaver,10283,3,0,9#10,1
dbeaver,10283,3,0,11#12,1
dbeaver,10712,2,0,4#3,2
dbeaver,101117,2,0,5#6,2
dbeaver,101117,2,0,6#5,2
dbeaver,101117,3,0,7#8,2
dbeaver,101117,3,0,8#7,2
dbeaver,10238,3,0,4#3,2
dbeaver,10238,3,0,7#8,2
dbeaver,10238,3,0,12#11,2
dbeaver,10238,3,0,13#14,2
dbeaver,10238,3,0,15#16,2
dbeaver,10238,3,0,17#18,2
dbeaver,10300,3,0,4#3,2
dbeaver,10300,3,0,6#5,2
dbeaver,10300,3,0,8#7,2
dbeaver,10300,3,0,11#12,2
dbeaver,10923,3,0,10#9,2
dbeaver,10266,3,0,3#4,2
dbeaver,10266,3,0,5#6,2
dbeaver,10266,3,0,7#8,2
dbeaver,10266,3,0,9#10,2
dbeaver,10266,3,0,11#12,2
dbeaver,10266,3,0,14#13,2
dbeaver,10266,3,0,17#18,2
dbeaver,10266,3,0,19#20,2
dbeaver,10266,3,0,21#22,2
dbeaver,10266,3,0,24#23,2
dbeaver,10266,3,0,25#26,2
dbeaver,10266,3,0,28#27,2
dbeaver,10266,3,0,29#30,2
dbeaver,10306,2,0,3#4,2
dbeaver,10500,2,0,5#6,1
dbeaver,10958,3,0,8#7,1
dbeaver,10958,3,0,9#10,1
dbeaver,101181,3,0,3#4,2
dbeaver,101181,3,0,4#3,2
dbeaver,101181,3,0,8#7,2
dbeaver,10230,3,0,8#7,1
dbeaver,10230,3,0,9#10,1
dbeaver,10230,3,0,10#9,1
dbeaver,10230,3,0,12#11,1
dbeaver,10922,2,0,10#9,2
dbeaver,10823,2,0,3#4,2
dbeaver,10823,2,0,6#5,2
dbeaver,10823,2,0,8#7,2
dbeaver,10823,3,0,9#10,2
dbeaver,101054,2,0,6#5,2
dbeaver,10347,3,0,6#5,2
dbeaver,10347,3,0,7#8,2
dbeaver,10347,3,0,8#7,2
dbeaver,10685,3,0,5#6,1
dbeaver,10685,3,0,6#5,1
dbeaver,10286,3,0,4#3,2
dbeaver,10286,3,0,7#8,2
dbeaver,10286,3,0,10#9,2
dbeaver,10279,1,0,3#4,2
dbeaver,10279,2,0,5#6,2
dbeaver,10264,3,0,4#3,2
dbeaver,10264,3,0,6#5,2
dbeaver,10264,3,0,8#7,2
dbeaver,10264,3,0,10#9,2
dbeaver,10264,3,0,12#11,2
dbeaver,10264,3,0,16#15,2
dbeaver,10264,3,0,18#17,2
dbeaver,10264,3,0,20#19,2
dbeaver,10264,3,0,22#21,2
dbeaver,10264,3,0,24#23,2
dbeaver,101118,3,0,5#6,2
dbeaver,101118,3,0,6#5,2
dbeaver,101118,3,0,8#7,2
dbeaver,101118,3,0,10#9,2
dbeaver,10253,3,0,3#4,2
dbeaver,10253,3,0,5#6,2
dbeaver,10253,3,0,6#5,2
dbeaver,10253,3,0,8#7,2
dbeaver,10253,3,0,11#12,2
dbeaver,10697,3,0,5#6,2
dbeaver,10733,3,0,3#4,2
dbeaver,10733,3,0,5#6,2
dbeaver,10733,3,0,6#5,2
dbeaver,10733,3,0,8#7,2
dbeaver,10733,3,0,12#11,2
dbeaver,10733,3,0,14#13,2
dbeaver,10733,3,0,16#15,2
dbeaver,10733,3,0,17#18,2
dbeaver,10401,3,0,4#3,2
dbeaver,10401,3,0,8#7,2
dbeaver,10401,3,0,10#9,2
dbeaver,10401,3,0,12#11,2
dbeaver,10401,3,0,14#13,2
dbeaver,101052,2,0,3#4,2
dbeaver,101052,3,0,9#10,2
dbeaver,10346,3,0,7#8,2
dbeaver,10346,3,0,8#7,2
dbeaver,10411,3,0,3#4,1
dbeaver,10501,3,0,5#6,2
dbeaver,10501,3,0,7#8,2
dbeaver,10501,3,0,9#10,2
dbeaver,10501,3,0,11#12,2
dbeaver,10410,3,0,6#5,1
dbeaver,10410,3,0,7#8,1
dbeaver,10410,3,0,13#14,1
dbeaver,10410,3,0,14#13,1
dbeaver,10235,3,0,3#4,2
dbeaver,10235,3,0,9#10,2
dbeaver,10235,3,0,11#12,2
dbeaver,10235,3,0,13#14,2
dbeaver,10940,3,0,6#5,2
